date,area,fips,area_type,population,per100k,cases,cumulative_cases,casesper1000,total_tests,cumulative_total_tests,cmlper100,positive_tests,cumulative_positive_tests,cptper100,reported_cases,rptper100,cumulative_reported_cases,cumper100,reported_deaths,cumulative_reported_deaths
4/1/2020,Alameda,06001,County,1685886,1686,67,768,0,461,8058,5,61,584,0,18,0,287,0,1,8
4/1/2020,Alpine,06003,County,1117,1,0,1,1,1,5,5,0,1,1,0,0,1,1,0,0
4/1/2020,Amador,06005,County,38531,39,0,5,0,16,189,5,0,4,0,0,0,1,0,0,0
4/1/2020,Butte,06007,County,217769,218,0,14,0,31,580,3,1,15,0,0,0,6,0,0,0
4/1/2020,Calaveras,06009,County,44289,44,0,6,0,15,214,5,0,8,0,0,0,3,0,0,0
4/1/2020,Colusa,06011,County,22593,23,0,3,0,4,21,1,0,2,0,0,0,1,0,0,0
4/1/2020,Contra Costa,06013,County,1160099,1160,25,515,0,333,5582,5,26,369,0,21,0,267,0,0,3
4/1/2020,Del Norte,06015,County,27558,28,1,2,0,9,123,4,2,4,0,0,0,0,0,0,0
4/1/2020,El Dorado,06017,County,193098,193,4,35,0,61,857,4,4,24,0,0,0,14,0,0,0
4/1/2020,Fresno,06019,County,1032227,1032,21,254,0,109,1817,2,9,74,0,16,0,75,0,0,0
4/1/2020,Glenn,06021,County,29348,29,0,3,0,4,39,1,0,2,0,0,0,2,0,0,0
4/1/2020,Humboldt,06023,County,134098,134,0,50,0,86,786,6,9,43,0,1,0,19,0,0,0
4/1/2020,Imperial,06025,County,191649,192,6,102,1,75,487,3,5,60,0,8,0,25,0,0,0
4/1/2020,Inyo,06027,County,18453,18,0,10,1,19,111,6,0,10,1,0,0,8,0,0,0
4/1/2020,Kern,06029,County,927251,927,22,301,0,152,3171,3,3,136,0,6,0,53,0,0,0
4/1/2020,Kings,06031,County,156444,156,2,21,0,55,544,3,1,12,0,1,0,3,0,0,0
4/1/2020,Lake,06033,County,64871,65,2,3,0,12,204,3,0,0,0,0,0,0,0,0,0
4/1/2020,Lassen,06035,County,30065,30,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0
4/1/2020,Los Angeles,06037,County,10257557,10258,664,7700,1,5633,58382,6,820,7649,1,501,0,3502,0,13,66
4/1/2020,Madera,06039,County,160089,160,1,43,0,35,387,2,2,27,0,0,0,17,0,0,1
4/1/2020,Marin,06041,County,260800,261,9,145,1,67,1591,6,10,146,1,2,0,87,0,0,1
